"BehaviorSpace results (NetLogo 6.1.0)"
"wasps.nlogo"
"experiment"
"11/25/2019 13:23:20:042 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","lambda-1","use-seed?","seed","init-sd-occ","percentile-selector","homogenous?","show-pop","number-of-sites","track-monitoring-area?","p-ldd","base-prop-gm","release-prop-gm","show-pop?","r-mean","periodicity","wasps-per-site","init-mean-occ","r-sd","scenario","[step]","total-pop","prop-occupied"
"3","0.5","true","1","0","0.95","false","0","20","false","0.1","0","1","true","2","1","500","0.5","0","base plus release sites","0","12537789","0.99093045992553"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","0","12537789","0.99093045992553"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","0","12537789","0.99093045992553"
"6","1","true","1","0","0.95","false","0","20","false","0.1","0","1","true","2","1","500","0.5","0","base plus release sites","0","12537789","0.99093045992553"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","0","12537789","0.99093045992553"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","0","12537789","0.99093045992553"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","1","12488118","0.9920953549809665"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","1","12517446","0.9920121481912925"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","1","12521428","0.9919705447964554"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","1","12495462","0.9921785617706405"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","2","11651456","0.9885174630249829"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","2","12171569","0.9887046783017495"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","2","12180446","0.9885174630249829"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","2","11641690","0.9881222307740312"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","3","12003817","0.9913880972687371"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","3","12319488","0.991096873504878"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","3","12322690","0.9912632870842261"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","3","12001628","0.9913464938739001"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","4","11735470","0.98995278014686"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","4","12229813","0.9897031597778378"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","4","12226639","0.9897031597778378"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","4","11737071","0.9899319784494415"
"6","1","true","1","0","0.95","false","0","20","false","0.1","0","1","true","2","1","500","0.5","0","base plus release sites","1","12481805","0.9921369583758035"
"3","0.5","true","1","0","0.95","false","0","20","false","0.1","0","1","true","2","1","500","0.5","0","base plus release sites","1","12514506","0.9919289414016184"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","5","11922873","0.991055270110041"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","5","12288817","0.9907432446487633"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","5","12279990","0.9905560293719967"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","5","11919648","0.9911800802945521"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","6","11771003","0.9903064090029746"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","6","12243320","0.990035986936534"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","6","12248379","0.9905768310694153"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","6","11775545","0.9905352276745782"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","7","11876349","0.9908888565306929"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","7","12271452","0.9907016412539263"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","7","12264680","0.9904312191874857"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","7","11884455","0.9908472531358559"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","8","11789621","0.9902440039107191"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","8","12238081","0.990077590331371"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","8","12243887","0.9905560293719967"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","8","11790845","0.9903480123978117"
