"BehaviorSpace results (NetLogo 6.1.1)"
"wasps.nlogo"
"experiment-1"
"10/28/2019 20:47:27:655 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","r-mean","r-sd","lambda-1","p-ldd","use-seed?","seed","scenario","number-of-sites","wasps-per-site","percentile-selector","init-sd-occ","homogenous?","show-pop","track-monitoring-area?","base-prop-gm","release-prop-gm","show-pop?","periodicity","init-mean-occ","[step]","total-pop","prop-occupied"
"14","2","0","0.5","0","true","14","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"8","2","0","0.5","0","true","8","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"3","2","0","0.5","0","true","3","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"6","2","0","0.5","0","true","6","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","3","0","4.16033948370187E-5"
"17","2","0","0.5","0","true","17","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"20","2","0","0.5","0","true","20","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","333813","0.1183616583113182"
"22","2","0","0.5","0","true","22","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"11","2","0","0.5","0","true","11","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","405851","0.13797765897697253"
"15","2","0","0.5","0","true","15","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","622217","0.15828011565743766"
"19","2","0","0.5","0","true","19","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","691514","0.19031472968194205"
"18","2","0","0.5","0","true","18","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","733169","0.1536829405279471"
"27","2","0","0.5","0","true","27","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"16","2","0","0.5","0","true","16","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","1598955","0.2282570257733031"
"29","2","0","0.5","0","true","29","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
