"BehaviorSpace results (NetLogo 6.1.1)"
"wasps.nlogo"
"experiment_nozeroldd"
"11/11/2019 21:16:59:799 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","lambda-1","use-seed?","seed","init-sd-occ","percentile-selector","homogenous?","show-pop","number-of-sites","track-monitoring-area?","p-ldd","base-prop-gm","release-prop-gm","show-pop?","r-mean","periodicity","wasps-per-site","init-mean-occ","r-sd","scenario","[step]","total-pop","prop-occupied"
"15","0.5","true","1","0","0.95","false","0","20","false","0.01","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"3","0.5","true","1","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"7","0.5","true","1","0","0.95","false","0","20","false","0.001","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"11","0.5","true","1","0","0.95","false","0","20","false","0.01","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"5","0.5","true","1","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"13","0.5","true","1","0","0.95","false","0","20","false","0.01","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"10","0.5","true","1","0","0.95","false","0","20","false","0.001","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"4","0.5","true","1","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"14","0.5","true","1","0","0.95","false","0","20","false","0.01","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"16","0.5","true","1","0","0.95","false","0","20","false","0.1","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"12","0.5","true","1","0","0.95","false","0","20","false","0.01","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"9","0.5","true","1","0","0.95","false","0","20","false","0.001","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"8","0.5","true","1","0","0.95","false","0","20","false","0.001","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"6","0.5","true","1","0","0.95","false","0","20","false","0.001","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"2","0.5","true","1","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"21","0.5","true","2","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"17","0.5","true","1","0","0.95","false","0","20","false","0.1","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"26","0.5","true","2","0","0.95","false","0","20","false","0.001","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"18","0.5","true","1","0","0.95","false","0","20","false","0.1","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"30","0.5","true","2","0","0.95","false","0","20","false","0.001","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"23","0.5","true","2","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"24","0.5","true","2","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"29","0.5","true","2","0","0.95","false","0","20","false","0.001","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"20","0.5","true","1","0","0.95","false","0","20","false","0.1","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"25","0.5","true","2","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"22","0.5","true","2","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"32","0.5","true","2","0","0.95","false","0","20","false","0.01","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"28","0.5","true","2","0","0.95","false","0","20","false","0.001","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"27","0.5","true","2","0","0.95","false","0","20","false","0.001","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"19","0.5","true","1","0","0.95","false","0","20","false","0.1","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"31","0.5","true","2","0","0.95","false","0","20","false","0.01","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"33","0.5","true","2","0","0.95","false","0","20","false","0.01","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"38","0.5","true","2","0","0.95","false","0","20","false","0.1","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"36","0.5","true","2","0","0.95","false","0","20","false","0.1","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"35","0.5","true","2","0","0.95","false","0","20","false","0.01","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"37","0.5","true","2","0","0.95","false","0","20","false","0.1","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"43","0.5","true","3","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"40","0.5","true","2","0","0.95","false","0","20","false","0.1","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"41","0.5","true","3","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"34","0.5","true","2","0","0.95","false","0","20","false","0.01","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"47","0.5","true","3","0","0.95","false","0","20","false","0.001","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"39","0.5","true","2","0","0.95","false","0","20","false","0.1","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"42","0.5","true","3","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"48","0.5","true","3","0","0.95","false","0","20","false","0.001","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"45","0.5","true","3","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"44","0.5","true","3","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"46","0.5","true","3","0","0.95","false","0","20","false","0.001","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"49","0.5","true","3","0","0.95","false","0","20","false","0.001","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"50","0.5","true","3","0","0.95","false","0","20","false","0.001","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"51","0.5","true","3","0","0.95","false","0","20","false","0.01","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"53","0.5","true","3","0","0.95","false","0","20","false","0.01","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"52","0.5","true","3","0","0.95","false","0","20","false","0.01","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"57","0.5","true","3","0","0.95","false","0","20","false","0.1","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"56","0.5","true","3","0","0.95","false","0","20","false","0.1","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"54","0.5","true","3","0","0.95","false","0","20","false","0.01","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"55","0.5","true","3","0","0.95","false","0","20","false","0.01","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"63","0.5","true","4","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"60","0.5","true","3","0","0.95","false","0","20","false","0.1","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"61","0.5","true","4","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"58","0.5","true","3","0","0.95","false","0","20","false","0.1","0.3","1","true","2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"59","0.5","true","3","0","0.95","false","0","20","false","0.1","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"62","0.5","true","4","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"64","0.5","true","4","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"65","0.5","true","4","0","0.95","false","0","20","false","1.0E-4","0.3","1","true","2.4","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"66","0.5","true","4","0","0.95","false","0","20","false","0.001","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"67","0.5","true","4","0","0.95","false","0","20","false","0.001","0.3","1","true","1.8","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"69","0.5","true","4","0","0.95","false","0","20","false","0.001","0.3","1","true","2.2","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
"71","0.5","true","4","0","0.95","false","0","20","false","0.01","0.3","1","true","1.6","1","500","0.075","0","base only","0","1857502","0.9842531150541884"
